id,material,layout,seed,support_cells,workers,peak_depth,final_depth,grounded_ticks,max_overlap,floor_tick,sha256
player-033,26,flat,3,8,1,0.0,0.0,1768,0,-1,aad158e51940c598ded79061519c60a99f40e07648dc266019808bebe3ec192b
player-034,26,flat,4,8,1,0.0,0.0,1768,0,-1,d70137834e85f9a64cadeac897fcd3160c7c6041af817d787d3df3cdc90375e4
player-035,27,flat,0,8,1,0.0,0.0,1768,0,-1,5018e2c2c18268b06db6217b7998ad58f520d11833e672e82694e34cdb447a31
player-036,27,flat,1,8,1,0.0,0.0,1768,0,-1,62277d6fb589ac80fb684b616efe893d7f81d31c4cae149011ffa164acb1e5c6
player-037,27,flat,2,8,1,0.0,0.0,1768,0,-1,c2861e50f63d1fd1f233542d743278a7dabd3d628635648123dbf528dd3ed848
player-038,27,flat,3,8,1,0.0,0.0,1768,0,-1,a88e42a8f51d251c266d7f09aaa1fb60033636442a257fc3a2696e23ecc37865
player-039,27,flat,4,8,1,0.0,0.0,1768,0,-1,a55be3280ef57d7f782bbec988a6641c1005f707e4cdefa4ea23d31f55dc28b0
player-040,29,flat,0,8,1,0.0,0.0,1768,0,-1,92c4ca03491f3429cd497a4f082ef484c256be04a64b97622bc4162657c2f728
player-041,29,flat,1,8,1,0.0,0.0,1768,0,-1,a31679b4fbce05064d7b7abe4c43ef2019a132ee5f5e0c23761fc83d165d6a2c
player-042,29,flat,2,8,1,0.0,0.0,1768,0,-1,97f6e5f16099a4ca5b06891af851e8dc4ea697cf289927faf50b7632828b8003
player-043,29,flat,3,8,1,0.0,0.0,1768,0,-1,d5ef3978fd7300cbb1f94cd076dea64e134cd81feea4fa775a108968ad896149
player-044,29,flat,4,8,1,0.0,0.0,1768,0,-1,e5b059ce34be71293295c8c1958b59378dcfe30b6135017527ca088d037a8429
player-045,2,walk,0,8,1,0.0,0.0,1768,0,-1,2b3ac338476672854f4c4c3eaab4b5a4261d4276df42f7ed9b1e251610d72673
player-046,2,walk,1,8,1,0.0,0.0,1768,0,-1,58026da9ae6418943a03dc6a7d1b6b752f47d75e01b4e380f996b3c7eee8125b
player-047,2,walk,2,8,1,0.0,0.0,1768,0,-1,7fa9b47e47c198c370036d1b3da971f92584b264fdfc095bb5d26d8409ff745f
player-048,2,walk,3,8,1,0.0,0.0,1768,0,-1,efd57ddf96588441615fa56eb82343e001baa8a2b839b20679c437d5384741bf
player-049,2,walk,4,8,1,0.0,0.0,1768,0,-1,746df55c871a61dc4e14f62ca463012f75a8d8a6dc89dabebfecc3427f9f470c
player-050,2,slope,0,8,1,20.9978179931641,20.9822692871094,1484,0,-1,38ccab33e391f84d1414bc78bdab5bd041cacf0df75aa45a47e9e690ee8d682b
player-051,2,slope,1,8,1,20.9978179931641,20.9822692871094,1484,0,-1,8e093881c72886d4735b2902331618b56a36fd27054bc21fdd372f84f1b100bb
player-052,2,slope,2,8,1,20.9978179931641,20.9822692871094,1484,0,-1,2fb42c83c61773ee8fd0df60af91f7f0e7fd83551f0cc835a50941be8d4b2b14
player-053,2,slope,3,8,1,20.9978179931641,20.9822692871094,1484,0,-1,07e58105122f70199fb403dfa9688311440d1e689b02242101339b959d9ec0db
player-054,2,slope,4,8,1,20.9978179931641,20.9822692871094,1484,0,-1,0dcd70bcb084b848ba74be6925520115df79dc70459e77566e944d2af22650b6
player-055,2,side,0,8,1,0.0,0.0,1596,0,-1,6837055bc48028678ab627c8c6894ef87b3f5630669189600d1aea062477d74a
player-056,2,side,1,8,1,0.0,0.0,1595,0,-1,dba0c695c9c8f592d12388334976e72d817b6e37e4ff262ecfbc21a83ed2906d
player-057,2,side,2,8,1,0.0,0.0,1601,0,-1,b2d4f3ac7e77dda8d02d6cbbb6f884241a3ca48de6ce5790c456cdd2a88b63b6
player-058,2,side,3,8,1,0.0,0.0,1595,1,-1,6e117ad558c5e762f3c39b79758ce7e62a8f6d3867b5fc235e8f4fbba0d5992e
player-059,2,side,4,8,1,0.0,0.0,1598,0,-1,6fc957c76b4284f280a188b87bac0deb7cedb23347bb546affa6e1b5d595eff5
player-060,2,film,0,8,1,383.991394042969,383.991394042969,1496,8,305,e7f714a4b263665077636d9685a9ca71b4164cad32bc6c1e03481253161bdf77
player-061,2,film,1,8,1,383.991516113281,383.991516113281,1496,8,305,b250e896615200d492e3f83a1142b02eba087eb6ca2fecadf2f06fb65805d287
player-062,2,film,2,8,1,383.991577148438,383.991577148438,1496,8,305,bb3210d2b7551b94bf73e816fc9afd38bd86ded2a132f2fb224b61c976ebe77a
player-063,2,film,3,8,1,383.991455078125,383.991455078125,1496,8,305,c59594d9d3a6cdd4c93db24dac03e46bcf5acc8af238c5c585b2dad79b9f47c5
player-064,2,film,4,8,1,383.991516113281,383.991516113281,1496,8,305,48cf177929b4a02961d0230e6e872f3c71bd7027a6b0d99a23f0f1f31cc6c08a
player-065,2,falling,0,8,1,383.984680175781,375.984680175781,1471,64,330,20050f7da5da3c79c13f68751b83e5882155a4b20d710eaedb5775aa0be0dda3
player-066,2,falling,1,8,1,383.999206542969,375.999206542969,1474,48,327,edf78e8a8fd65efb150fceaa0d161c16a18cc2865413cbd622b9d06c41a23904
player-067,2,falling,2,8,1,383.978210449219,375.978210449219,1472,48,324,3f95c1d89bf6a28211b798b512040e66ccb2a9f2743d11d492b82cb828760f63
player-068,2,falling,3,8,1,383.980285644531,375.980285644531,1465,64,330,82b5404d708d2bf166fdd157cded0b2a6bb18051e6cf470cd7dd88e6cd0002c8
player-069,2,falling,4,8,1,383.994812011719,375.994812011719,1469,48,327,c91b9b321e86bd2adb0c25f1bdd7166c50d8a650b26061009b7fda8375ac4796
player-070,2,enclosed,0,8,1,0.0,0.0,1800,0,-1,91ed4733f096bcbb9542ac7aec925e96730ecde2abcf8bff34627fe67a9ae329
player-071,2,enclosed,1,8,1,0.0,0.0,1800,0,-1,88d8515d9dc2cc0adc27494acb18866904343c7b266c4d91a81b09e0f69dafb7
player-072,2,enclosed,2,8,1,0.0,0.0,1800,0,-1,d582563ab999920c7001eb9a5c4e36bd0db3484ee0f0b3dcccc07d3beaa73c9c
player-073,2,enclosed,3,8,1,0.0,0.0,1800,0,-1,571371c6742fb7aa41652356f3c9c33661ecd325f306b7d99fc74146fd02c969
player-074,2,enclosed,4,8,1,0.0,0.0,1800,0,-1,64a24f23eade8e211fb85df94f18d6de90cad2d5b070ec30ac0251179881434b
player-075,2,excavate,0,8,1,205.853057861328,167.977355957031,1579,60,-1,fa530063b80d95e09865568c1568820f1a0932f2929549872684a6bc1efbaa4e
player-076,2,excavate,1,8,1,213.76416015625,152.994049072266,1592,66,-1,6b11dd9f9c05cccb946aecdb762c8974c363c792c09880a552a318988c6cd0a5
player-077,2,excavate,2,8,1,214.197418212891,151.989440917969,1580,57,-1,a2e42f8adeb701eba39e6923b8f6aa55f6064a55d315130efeed0d9f94ac1cdd
player-078,2,excavate,3,8,1,212.764221191406,151.994110107422,1593,63,-1,bff2e35b6034f8046d77238a369051bbeb2375c5558b2ab2d0260c2faf8a816e
player-079,2,excavate,4,8,1,210.897521972656,154.999725341797,1594,35,-1,bb7222f62240426a9c6484048c60fc59b669ce494b44167a444499893fb4e65f
player-080,2,reentry,0,8,1,0.0,0.0,1768,0,-1,577561a1a8d7bc020930e15cc3ebc799a6e1da08e83710dc72876836faf981bc
player-081,2,reentry,1,8,1,0.0,0.0,1768,0,-1,879960e2606de8226e70f009e58bd6b65fe57a661c6e968c0a3dbafd90649f40
player-082,2,reentry,2,8,1,0.0,0.0,1768,0,-1,692ba1246b10448188a0004351ceed46f246b737e0b0ac04c67704e89ce9a1dc
player-083,2,reentry,3,8,1,0.0,0.0,1768,0,-1,fcf6c7753024988081ae8f70a0432a119abbd09089ff33d41412fb85983942f5
player-084,2,reentry,4,8,1,0.0,0.0,1768,0,-1,cf02daac68f9166d8874e8b965b8cfd66af8c471a1bcce0a46b1be5bd4bf2f16
player-085,14,walk,0,8,1,0.0,0.0,1768,0,-1,8520f3f90cd3a5523701271c38b6db61fb87be49cf5e07675ec306a28d6dfb5b
player-086,14,walk,1,8,1,0.0,0.0,1768,0,-1,01124f23bc7bc1a58f05d216a44d961dacf6617456c1ddb59810bc92c9a0c47b
player-087,14,walk,2,8,1,0.0,0.0,1768,0,-1,0a9917c80bfe104e88dfeb94714391f2d73e6d4114502bff78663ed2298b4166
player-088,14,walk,3,8,1,0.0,0.0,1768,0,-1,c3a86b8ec03ff588c577be958f2c4c5ca6726d06c98b41de15bd2bc8656f8293
player-089,14,walk,4,8,1,0.0,0.0,1768,0,-1,cbeee3f7ed9726c4db25fab1560c575170638e11884c92b4f673b849ce2f8a90
player-090,14,slope,0,8,1,20.9978179931641,20.9822692871094,1484,0,-1,40d5483f91905dc457f4df93097703ef3277012486e94a82f9c65e61ce9e561f
player-091,14,slope,1,8,1,20.9978179931641,20.9822692871094,1484,0,-1,58b553bef547bbc3a604c6cba464709699b6580dc42fc0811bee3fc233aca5ca
player-092,14,slope,2,8,1,20.9978179931641,20.9822692871094,1484,0,-1,def7992b92a1257b6881f92867aa8c56899225dc2d1e9af6796b209f4ca770c1
player-093,14,slope,3,8,1,20.9978179931641,20.9822692871094,1484,0,-1,d54479a6d1949debb6d6a2391306546988ed6d45816ec4fd0f949b0c1de4f8bb
player-094,14,slope,4,8,1,20.9978179931641,20.9822692871094,1484,0,-1,7a98d0cf4b44e0e77bd2cd193caaff60d33ec661e870e6daed4c0794bafaa32f
player-095,14,side,0,8,1,0.0,0.0,1596,0,-1,341740ee69237433c7394de5b2813f962709213ad9f6846c7c7d687bb1785d3a
player-096,14,side,1,8,1,0.0,0.0,1595,0,-1,96439e993fda76101a6d82833c539686e1151da9be28fe8b8cbe9cbda1258eb4
player-097,14,side,2,8,1,0.0,0.0,1601,0,-1,2d925228be0f599f9e7a88823eeee5e2dda8db18308e8308842011641c11e471
player-098,14,side,3,8,1,0.0,0.0,1595,1,-1,2820288afa458fc2da838146a36a64a905c030b1ff10af4f2f70b8b5e795bf62
player-099,14,side,4,8,1,0.0,0.0,1598,0,-1,0584a8ed9257692a3d37aa3b20f333604525913a751e1c2c49b6c38bfac92c89
player-100,14,film,0,8,1,383.991394042969,383.991394042969,1496,8,305,95bd6cde11cb1d8a1e3185f629f735d6a2cae8870efd2044d780dd3bb2729d07
player-101,14,film,1,8,1,383.991516113281,383.991516113281,1496,8,305,141ec4b2b69deb36d99d9815a55e9bbe633a3b2dc8b8bbe6876f3d5d453a5de5
player-102,14,film,2,8,1,383.991577148438,383.991577148438,1496,8,305,9cb86652b932c0560ea12ba7b8154333848cfe4b2d48bfdac302a264efdd60d7
player-103,14,film,3,8,1,383.991455078125,383.991455078125,1496,8,305,1ab174a0e9f78e6391ac4470ac6fa58bfc00b0fd89cb1948d24e6353c483ce81
player-104,14,film,4,8,1,383.991516113281,383.991516113281,1496,8,305,20d9b38e08a88cc531d08c3e439e1b0cf3682e086416b9b90111622318f154a8
player-105,14,falling,0,8,1,383.984680175781,375.984680175781,1471,64,330,4b7396d5f87984c647dc6f35b44f32a7b91b3994b35d2f4dba9765365529747c
player-106,14,falling,1,8,1,383.999206542969,375.999206542969,1474,48,327,ff60fd7518df3b549e6faff9772a3e0e140f88b28b9721c493c8d365e9b89a60
player-107,14,falling,2,8,1,383.978210449219,375.978210449219,1472,48,324,f1f111c2cd4e6ee21029dd1d70cd79264825a4bf6e875dab28c75ca9632b6306
player-108,14,falling,3,8,1,383.980285644531,375.980285644531,1465,64,330,56dc93e98e1cbcbcc2f69a2e67840b955eab2a5af0f03d7a7c1ea2f4900f3d8d
player-109,14,falling,4,8,1,383.994812011719,375.994812011719,1469,48,327,20bfb918ab272bfed79ca9a1cd9a83b3b98043db3d9ea26749f272f0b9bbd795
player-110,14,enclosed,0,8,1,0.0,0.0,1800,0,-1,250f5facba6aa80f85e1e4e9e245366a3fd9c99a39c7bfb4d4a019ee2a80b636
